anexo;tipo;auditado;arquivo;status;faltantes;tamanho_bytes;sha256
RELATORIO;relatorio_consolidado;;Relatório consolidado - iGovTI 2026.docx;ok;;5895967;dbfb51e41795d9b3cba3623b1605cae9bdf0539956856eb7eee700be6beef284
RELATORIO;relatorio_consolidado;;Relatório consolidado - iGovTI 2026.pdf;ok;;5271589;df46a8177b6dffc314d6ac17ecb63fca67344af139dc3bec55bea67ebadf9c88
AN01;anexo_geral;;AN01 – Ofícios de apresentação.zip;ok;;23012304;fc9df9a20ab446553140a349caf4927e809096c2b57f3a5f6ec0973aff711b24
AN02;anexo_geral;;AN02 – Matriz de planejamento.docx;ok;;93329;9028b431d9cf60bb8117108d80f61cb284c8f009d6e2fdcc027f1c9de34755d9
AN03;anexo_geral;;AN03 – Questionário iGovTI 2026, metodologia e resultados.zip;ok;;748773;6cb00c0ec0a59de5446401eae8a25518b667c462094a787893eb9ede9d786c01
AN04;anexo_geral;;AN04 – Evidências dos achados.docx;ok;;301668;e6fac4fc81c23587de363120a2e327f2a9e930471e2664688b1ac72dd415b0f7
AN05;anexo_geral;;AN05 – Respostas aos questionários e ajustes.zip;ok;;2867221;7dbbddd02a558d45b08a176610cf6cf2db77ac67ea3430ccebd7710a4519dd14
AN06;anexo_geral;;AN06 – Matriz de achados.docx;ok;;101814;e31f2c7c33b660a71a7134838312eeff16c91d12a2c071e6aff0bba0532689e6
AN07;anexo_geral;;AN07 – Impacto da avaliação das evidências.docx;ok;;30952;c6819e51e05478b48683c4bea99d7d5b8a73e778490429436f6ad6a180c6b684
AN08;anexo_geral;;AN08 – Avaliação dos comentários do gestor.docx;ok;;1358904;eb7823c3f716811dadb23597238337934d80f70b2e478234d765c2e2e9d783f5
AN09;anexo_geral;;AN09 – Cenário de utilização de IA no ERJ.docx;ok;;112668;b69fc6f231823143edb6018109678b931b612770b24f4bb5aa3409d305f2a1d3
AN10;anexo_geral;;AN10 – Comunicações da fiscalização e registros de ciência dos não respondentes.zip;ok;;14429525;f66ff9280d378f09a87f8f18f80df67b5def2f953b975a1af20b530e977f7d5c
AN11;anexo_geral;;AN11 – Análise longitudinal do iGovTI 2023–2026.docx;ok;;641562;904f3fca92c4e4fa962ac1f9d6aadc63639e613faf751bac79031ec698ef5273
AN12;anexo_individual_reservado;AGENERSA;AN12 – AGENERSA.zip;ok;;32897681;7b79f2b3e13bccbda740d99b44546713d9d0eaa042ae1edda6f074419b1408fd
AN13;anexo_individual_reservado;AGERIO;AN13 – AGERIO.zip;ok;;52448247;52c423c5e5c8f947003ae80f5e3d8af466d04b1fd4f18abc793a63de53ebcfca
AN14;anexo_individual_reservado;AGETRANSP;AN14 – AGETRANSP.zip;ok;;20574984;cf0a30bf5a75e36e6dd778cc2e699604157768bcd0f7cc8359f64db339c02122
AN15;anexo_individual_reservado;ALERJ;AN15 – ALERJ.zip;ok;;13250356;3c3dd51e59cb49c83d78a97cc508b0390956f51286d51911e25be1456130783c
AN16;anexo_individual_reservado;CEASA;AN16 – CEASA.zip;ok;;8350604;d580225cbea3f786ec0c3f5ca8c08783e0a082e98c853043ebe4a6925f83fc26
AN17;anexo_individual_reservado;CECIERJ;AN17 – CECIERJ.zip;incompleto;PDF de respostas aos comentários do gestor;38888154;80313fd14676236b33330e900d2d762f383310b8ec1df0a4e3582d6e9d751816
AN18;anexo_individual_reservado;CEDAE;AN18 – CEDAE.zip;ok;;91337588;bb5c88eb3971878db256249cd4db55368181b59ef15b59edf43c0726a18c8693
AN19;anexo_individual_reservado;CENTRAL;AN19 – CENTRAL.zip;ok;;11624032;8ed5754857c6f8e6e7c4ed4b50c3a89207027cd924ad922b273e91b7556604af
AN20;anexo_individual_reservado;CEPERJ;AN20 – CEPERJ.zip;incompleto;PDF de respostas aos comentários do gestor;32878136;9444e7d4126c777633bf2d7a7c7b21ca1c242660a33b1c981d710ce5842ff062
AN21;anexo_individual_reservado;CGE;AN21 – CGE.zip;ok;;83620000;77ef30a56dc95a3c9fe16c890d178715d35a3cb752780687d44810afe5aeb667
AN22;anexo_individual_reservado;CODERTE;AN22 – CODERTE.zip;ok;;15590195;af91b0854f33731868a940363a24ea1ba7af5f7b22e2b3592be25f748239f3bc
AN23;anexo_individual_reservado;CODIN;AN23 – CODIN.zip;ok;;18242786;301ab385ce34d8d3acf5d13109d36a822c0b4d9f8fcbbd14040300153fc4a807
AN24;anexo_individual_reservado;DEGASE;AN24 – DEGASE.zip;ok;;20971165;0d905461883b90e86a767e4f220404beb11251a7da16f9566f9feabc188be6ea
AN25;anexo_individual_reservado;DERRJ;AN25 – DERRJ.zip;ok;;10588469;918f91a0817cd6406487304a0b7068aaebde5ad216c828cb7b22e1f9f43b8617
AN26;anexo_individual_reservado;DETRAN;AN26 – DETRAN.zip;ok;;18867328;fde53e36576f91ab6f9853b38caa449b9b43a3bc8a6fafeeb320ea569c340134
AN27;anexo_individual_reservado;DETRO;AN27 – DETRO.zip;ok;;46512222;98aa0b0eb2076c58d9a2a13566c3b1738337bde32eabfd7e405ad0ee7be9a1e0
AN28;anexo_individual_reservado;DPGE;AN28 – DPGE.zip;ok;;49024647;f9321e2ec032a14a9fc70dd810231defaab08434005eb6a8e50896ec0f26707b
AN29;anexo_individual_reservado;DRM;AN29 – DRM.zip;ok;;21744363;01393086178abaccbb7502ade030bbd5a6cf64d4de8c09c510292bbb170df26a
AN30;anexo_individual_reservado;EMATER;AN30 – EMATER.zip;ok;;10605439;5355a6f29b0dc3702eda52f7e58320a3443b6479c31d9d676331f7d956118813
AN31;anexo_individual_reservado;FAETEC;AN31 – FAETEC.zip;ok;;12903958;01ccb361d8afa4435c3bb87c3234542ee6c3c26a5ef27aaf9fdb1eb160fbc2fd
AN32;anexo_individual_reservado;FAPERJ;AN32 – FAPERJ.zip;ok;;19405272;3a7eea64bbbb11a6e0d92722abebc1e5af2f3cf32e1ff1b1508d8278cbb68abf
AN33;anexo_individual_reservado;FIA;AN33 – FIA.zip;ok;;6573907;e601122aa4b3de698cf9e5bfe7e645652357f8c15868d25e560e77ed205e5441
AN34;anexo_individual_reservado;FIPERJ;AN34 – FIPERJ.zip;ok;;13412197;4d625b37b7a25d42b562f854f69b03186fb0e2af7b93654326492a9e13e7781b
AN35;anexo_individual_reservado;FLXIII;AN35 – FLXIII.zip;ok;;12795376;13b531c6a27cff3c675143013300d460ce827d1bf5451cb5455a5c7d6810d6d7
AN36;anexo_individual_reservado;FMIS;AN36 – FMIS.zip;ok;;62944664;42ce27d51caeef9d6fdef3412d45db3fc75d708f061db47712709589466e514e
AN37;anexo_individual_reservado;FS;AN37 – FS.zip;ok;;94504361;672297a51bfb0bd7fb7259f2da5e8c0b9581842c088c395d3473c76f6525ba71
AN38;anexo_individual_reservado;FSC;AN38 – FSC.zip;ok;;19249145;cdc3212c2f2a3b2cdf4d18e190f78d8ab233467d1331a0df5c507c1c7ec81bc8
AN39;anexo_individual_reservado;FTM;AN39 – FTM.zip;ok;;6045069;e0befe1a1a2e8df14c9eecd8b54ccd3b852688596221b7c9b28d934936eeebf9
AN40;anexo_individual_reservado;FUNARJ;AN40 – FUNARJ.zip;ok;;27129433;e96039f6e94668da3fcc9872d2dcbb50c7ce6c414e36fd18bd0dfdc28e7dc08c
AN41;anexo_individual_reservado;GSI;AN41 – GSI.zip;ok;;59183343;bd1c744b06a6b5a4acee7f68fa6b201f222aebd5d0da92f7e7ffb96fb8ee8579
AN42;anexo_individual_reservado;IEEA;AN42 – IEEA.zip;ok;;17067158;353e4acd488fe4a216555f031273eae8bfc03fa2a13fd44b6c50bbcb87adb5be
AN43;anexo_individual_reservado;INEA;AN43 – INEA.zip;ok;;15856193;db487b0230f39ecc52983404ba4bd80e705e6fda9a2825b38f50c7c61bc39a84
AN44;anexo_individual_reservado;IOERJ;AN44 – IOERJ.zip;ok;;72827182;8246107d7e89caadc4fe8990783b0814eacd8a09d36736128c746acfabd9e3f8
AN45;anexo_individual_reservado;IPEM;AN45 – IPEM.zip;ok;;30963642;b47af7b7b7793c0b91106b08abd349b9030f8c9f7682b3aa09bc57804dbe61dd
AN46;anexo_individual_reservado;IRM;AN46 – IRM.zip;incompleto;PDF de respostas aos comentários do gestor;11416805;0bf0d720aaf9d87640d653692b1801b713df59dfe2e12b10d55483dab82c40c1
AN47;anexo_individual_reservado;ISP;AN47 – ISP.zip;ok;;36621361;8da04c5ee7bef61293fe1402c1203403faf2dad787e39e7436e057ccfb9e4578
